month;dist;m.erosion;sedimentation;n.erosion;soil.m.month;rep
MR-2018;D(1m);0;0,67;-0,67;0,67;a
MR-2018;D(1m);0;0;0;0;b
MR-2018;D(1m);0;0,67;-0,67;0,67;c
MR-2018;D(7m);0;1,34;-1,34;1,34;a
MR-2018;D(7m);0;0;0;0;b
MR-2018;D(7m);0;0,64;-0,64;0,64;c
MR-2018;D(14m);0;0,67;-0,67;0,67;a
MR-2018;D(14m);2,68;0;2,68;2,68;b
MR-2018;D(14m);1,34;0;1,34;1,34;c
MR-2018;D(21m);1,34;0;1,34;1,34;a
MR-2018;D(21m);0;1,34;-1,34;1,34;b
MR-2018;D(21m);0,67;0;0,67;0,67;c
MR-2018;D(28m);0;0;0;0;a
MR-2018;D(28m);0;0,67;-0,67;0,67;b
MR-2018;D(28m);0;0;0;0;c
MR-2018;ctrl.Rod;0,22;2,01;-1,79;2,23;a
MR-2018;ctrl.Rod;0,67;0,67;0;1,34;b
MR-2018;ctrl.Rod;0,67;0;0,67;0,67;c
AB-2018;B(0m);2,01;0,67;1,34;2,68;a
AB-2018;B(0m);1,34;1,34;0;2,68;b
AB-2018;B(0m);0;0;0;0;c
AB-2018;D(05m);1,34;1,34;0;2,68;a
AB-2018;D(05m);0;0,67;-0,67;0,67;b
AB-2018;D(05m);1,34;0,57;0,77;1,91;c
AB-2018;D(1m);1,34;0;1,34;1,34;a
AB-2018;D(1m);2,67;0;2,67;2,67;b
AB-2018;D(1m);2,68;0;2,68;2,68;c
AB-2018;D(7m);1,34;0,67;0,67;2,01;a
AB-2018;D(7m);1,34;0;1,34;1,34;b
AB-2018;D(7m);0,67;0;0,67;0,67;c
AB-2018;D(14m);1,34;2,01;-0,67;3,35;a
AB-2018;D(14m);2,67;0;2,67;2,67;b
AB-2018;D(14m);0,67;2,01;-1,34;2,68;c
AB-2018;D(21m);1,34;0;1,34;1,34;a
AB-2018;D(21m);2,67;0;2,67;2,67;b
AB-2018;D(21m);0;1,34;-1,34;1,34;c
AB-2018;D(28m);1,34;0,67;0,67;2,01;a
AB-2018;D(28m);2,67;2,68;-0,01;5,35;b
AB-2018;D(28m);0;0,67;-0,67;0,67;c
AB-2018;ctrl.Rod;2,56;0;2,56;2,56;a
AB-2018;ctrl.Rod;3,35;0;3,35;3,35;b
AB-2018;ctrl.Rod;2,68;0;2,68;2,68;c
MY-2018;B(0m);0;2,68;-2,68;2,68;a
MY-2018;B(0m);0;2,01;-2,01;2,01;b
MY-2018;B(0m);0;0;0;0;c
MY-2018;D(05m);0;1,34;-1,34;1,34;a
MY-2018;D(05m);0;2,68;-2,68;2,68;b
MY-2018;D(05m);0;2,01;-2,01;2,01;c
MY-2018;D(1m);3,35;0;3,35;3,35;a
MY-2018;D(1m);3,35;0;3,35;3,35;b
MY-2018;D(1m);1,34;0;1,34;1,34;c
MY-2018;D(7m);2,01;0;2,01;2,01;a
MY-2018;D(7m);2,67;0,67;2;3,34;b
MY-2018;D(7m);1,34;0;1,34;1,34;c
MY-2018;D(14m);1,34;2,01;-0,67;3,35;a
MY-2018;D(14m);2,67;0;2,67;2,67;b
MY-2018;D(14m);3,35;2,68;0,67;6,03;c
MY-2018;D(21m);2,68;0,67;2,01;3,35;a
MY-2018;D(21m);3,35;0;3,35;3,35;b
MY-2018;D(21m);2,68;0;2,68;2,68;c
MY-2018;D(28m);0,67;0,67;0;1,34;a
MY-2018;D(28m);3,35;1,34;2,01;4,69;b
MY-2018;D(28m);1,34;1,34;0;2,68;c
MY-2018;ctrl.Rod;3,43;0;3,43;3,43;a
MY-2018;ctrl.Rod;4,02;0;4,02;4,02;b
MY-2018;ctrl.Rod;3,43;0;3,43;3,43;c
JN-2018;B(0m);0;0,67;-0,67;0,67;a
JN-2018;B(0m);0;2,68;-2,68;2,68;b
JN-2018;B(0m);0;0,67;-0,67;0,67;c
JN-2018;D(05m);0;1,34;-1,34;1,34;a
JN-2018;D(05m);0,67;2,01;-1,34;2,68;b
JN-2018;D(05m);0;2,68;-2,68;2,68;c
JN-2018;D(1m);2,68;0,67;2,01;3,35;a
JN-2018;D(1m);3,35;0;3,35;3,35;b
JN-2018;D(1m);2,68;0;2,68;2,68;c
JN-2018;D(7m);2,01;0,67;1,34;2,68;a
JN-2018;D(7m);4,02;0;4,02;4,02;b
JN-2018;D(7m);3,35;0,67;2,68;4,02;c
JN-2018;D(14m);9,38;0;9,38;9,38;a
JN-2018;D(14m);5,36;0,67;4,69;6,03;b
JN-2018;D(14m);10,78;0;10,78;10,78;c
JN-2018;D(21m);1,34;0,67;0,67;2,01;a
JN-2018;D(21m);2,67;0,67;2;3,34;b
JN-2018;D(21m);1,34;1,34;0;2,68;c
JN-2018;D(28m);0;1,34;-1,34;1,34;a
JN-2018;D(28m);0,67;2,68;-2,01;3,35;b
JN-2018;D(28m);0;1,34;-1,34;1,34;c
JN-2018;ctrl.Rod;6,7;0;6,7;6,7;a
JN-2018;ctrl.Rod;8,04;0;8,04;8,04;b
JN-2018;ctrl.Rod;5,36;0;5,36;5,36;c
JL-2018;B(0m);1,34;2,68;-1,34;4,02;a
JL-2018;B(0m);2,68;0,67;2,01;3,35;b
JL-2018;B(0m);1,34;2,68;-1,34;4,02;c
JL-2018;D(05m);0;1,34;-1,34;1,34;a
JL-2018;D(05m);0,67;2,68;-2,01;3,35;b
JL-2018;D(05m);0;1,34;-1,34;1,34;c
JL-2018;D(1m);2,68;0;2,68;2,68;a
JL-2018;D(1m);4,02;0;4,02;4,02;b
JL-2018;D(1m);1,34;0;1,34;1,34;c
JL-2018;D(7m);1,34;0;1,34;1,34;a
JL-2018;D(7m);4,02;0;4,02;4,02;b
JL-2018;D(7m);0,67;2,68;-2,01;3,35;c
JL-2018;D(14m);6,7;0;6,7;6,7;a
JL-2018;D(14m);4,02;0;4,02;4,02;b
JL-2018;D(14m);6,7;0;6,7;6,7;c
JL-2018;D(21m);4,02;0;4,02;4,02;a
JL-2018;D(21m);2,68;0,67;2,01;3,35;b
JL-2018;D(21m);4,02;0;4,02;4,02;c
JL-2018;D(28m);0;1,34;-1,34;1,34;a
JL-2018;D(28m);2,68;0;2,68;2,68;b
JL-2018;D(28m);0;1,34;-1,34;1,34;c
JL-2018;ctrl.Rod;5,36;0;5,36;5,36;a
JL-2018;ctrl.Rod;4,02;0;4,02;4,02;b
JL-2018;ctrl.Rod;6,03;0;6,03;6,03;c
AG-2018;B(0m);1,34;3,01;-1,67;4,35;a
AG-2018;B(0m);1,34;3,01;-1,67;4,35;b
AG-2018;B(0m);0,67;0,67;0;1,34;c
AG-2018;D(05m);1,34;2,01;-0,67;3,35;a
AG-2018;D(05m);0,67;1,34;-0,67;2,01;b
AG-2018;D(05m);0,67;2,68;-2,01;3,35;c
AG-2018;D(1m);1,34;0;1,34;1,34;a
AG-2018;D(1m);4,02;0,67;3,35;4,69;b
AG-2018;D(1m);3,35;0;3,35;3,35;c
AG-2018;D(7m);1,34;0,67;0,67;2,01;a
AG-2018;D(7m);4,02;0;4,02;4,02;b
AG-2018;D(7m);3,35;2,01;1,34;5,36;c
AG-2018;D(14m);10,72;0;10,72;10,72;a
AG-2018;D(14m);6,7;0,67;6,03;7,37;b
AG-2018;D(14m);10,72;0;10,72;10,72;c
AG-2018;D(21m);4,02;0;4,02;4,02;a
AG-2018;D(21m);5,36;0,67;4,69;6,03;b
AG-2018;D(21m);4,02;0;4,02;4,02;c
AG-2018;D(28m);3,35;0;3,35;3,35;a
AG-2018;D(28m);2,01;1,34;0,67;3,35;b
AG-2018;D(28m);1,34;2,68;-1,34;4,02;c
AG-2018;ctrl.Rod;6,7;0;6,7;6,7;a
AG-2018;ctrl.Rod;9,38;0;9,38;9,38;b
AG-2018;ctrl.Rod;6,03;0;6,03;6,03;c
