month;soil.depth;dist;soil.moist;rep
O-2017;P3-40;D1-0.5;6,015;a
O-2017;P3-40;D1-0.5;6,586;b
O-2017;P3-40;D1-0.5;5,118;c
O-2017;P3-40;D2-1.5;5,896;a
O-2017;P3-40;D2-1.5;5,737;b
O-2017;P3-40;D2-1.5;5,479;c
O-2017;P3-40;ctrl-S/B;4,74;a
O-2017;P3-40;ctrl-S/B;4,89;b
O-2017;P3-40;ctrl-S/B;4,34;c
O-2017;P4-50;D0;5,029;a
O-2017;P4-50;D0;5,459;b
O-2017;P4-50;D0;4,758;c
O-2017;P4-50;D1-0.5;6,28;a
O-2017;P4-50;D1-0.5;5,548;b
O-2017;P4-50;D1-0.5;5,092;c
O-2017;P4-50;D2-1.5;6,014;a
O-2017;P4-50;D2-1.5;6,126;b
O-2017;P4-50;D2-1.5;4,855;c
O-2017;P4-50;ctrl-S/B;5,36;a
O-2017;P4-50;ctrl-S/B;4,45;b
O-2017;P4-50;ctrl-S/B;5,03;c
N-2017;P1-20;D0;5,759;a
N-2017;P1-20;D0;4,392;b
N-2017;P1-20;D0;3,022;c
N-2017;P1-20;D1-0.5;5,989;a
N-2017;P1-20;D1-0.5;6,115;b
N-2017;P1-20;D1-0.5;4,89;c
N-2017;P1-20;D2-1.5;4,891;a
N-2017;P1-20;D2-1.5;5,142;b
N-2017;P1-20;D2-1.5;4,182;c
N-2017;P1-20;ctrl-S/B;3,08;a
N-2017;P1-20;ctrl-S/B;4,07;b
N-2017;P1-20;ctrl-S/B;3,69;c
N-2017;P2-30;D0;6,449;a
N-2017;P2-30;D0;6,474;b
N-2017;P2-30;D0;4,436;c
N-2017;P2-30;D1-0.5;7,759;a
N-2017;P2-30;D1-0.5;7,69;b
N-2017;P2-30;D1-0.5;6,442;c
N-2017;P2-30;D2-1.5;6,115;a
N-2017;P2-30;D2-1.5;8,771;b
N-2017;P2-30;D2-1.5;6,609;c
N-2017;P2-30;ctrl-S/B;4,76;a
N-2017;P2-30;ctrl-S/B;3,99;b
N-2017;P2-30;ctrl-S/B;4,76;c
N-2017;P3-40;D0;7,939;a
N-2017;P3-40;D0;8,816;b
N-2017;P3-40;D0;7,619;c
N-2017;P3-40;D1-0.5;8,68;a
N-2017;P3-40;D1-0.5;7,302;b
N-2017;P3-40;D1-0.5;5,1;c
N-2017;P3-40;D2-1.5;7,864;a
N-2017;P3-40;D2-1.5;7,84;b
N-2017;P3-40;D2-1.5;7,544;c
N-2017;P3-40;ctrl-S/B;5,57;a
N-2017;P3-40;ctrl-S/B;6,67;b
N-2017;P3-40;ctrl-S/B;4,57;c
N-2017;P4-50;D0;6,671;a
N-2017;P4-50;D0;9,687;b
N-2017;P4-50;D0;5,613;c
N-2017;P4-50;D1-0.5;7,602;a
N-2017;P4-50;D1-0.5;10,845;b
N-2017;P4-50;D1-0.5;7,389;c
N-2017;P4-50;D2-1.5;8,01;a
N-2017;P4-50;D2-1.5;9,722;b
N-2017;P4-50;D2-1.5;6,65;c
N-2017;P4-50;ctrl-S/B;6,41;a
N-2017;P4-50;ctrl-S/B;5,48;b
N-2017;P4-50;ctrl-S/B;5,99;c
D-2017;P1-20;D0;2,959;a
D-2017;P1-20;D0;3,581;b
D-2017;P1-20;D0;3,604;c
D-2017;P1-20;D1-0.5;4,066;a
D-2017;P1-20;D1-0.5;3,617;b
D-2017;P1-20;D1-0.5;5,226;c
D-2017;P1-20;D2-1.5;4,68;a
D-2017;P1-20;D2-1.5;2,763;b
D-2017;P1-20;D2-1.5;5,84;c
D-2017;P1-20;ctrl-S/B;3,31;a
D-2017;P1-20;ctrl-S/B;3,31;b
D-2017;P1-20;ctrl-S/B;2,04;c
D-2017;P2-30;D0;3,085;a
D-2017;P2-30;D0;4,167;b
D-2017;P2-30;D0;4,242;c
D-2017;P2-30;D1-0.5;3,665;a
D-2017;P2-30;D1-0.5;4,675;b
D-2017;P2-30;D1-0.5;4,609;c
D-2017;P2-30;D2-1.5;6,432;a
D-2017;P2-30;D2-1.5;4,468;b
D-2017;P2-30;D2-1.5;4,651;c
D-2017;P2-30;ctrl-S/B;4,23;a
D-2017;P2-30;ctrl-S/B;5,03;b
D-2017;P2-30;ctrl-S/B;4,29;c
D-2017;P3-40;D0;5,068;a
D-2017;P3-40;D0;4,135;b
D-2017;P3-40;D0;4,789;c
D-2017;P3-40;D1-0.5;5,941;a
D-2017;P3-40;D1-0.5;4,355;b
D-2017;P3-40;D1-0.5;4,819;c
D-2017;P3-40;D2-1.5;7,732;a
D-2017;P3-40;D2-1.5;5,337;b
D-2017;P3-40;D2-1.5;4,438;c
D-2017;P3-40;ctrl-S/B;4,64;a
D-2017;P3-40;ctrl-S/B;3,99;b
D-2017;P3-40;ctrl-S/B;4,03;c
D-2017;P4-50;D0;6,192;a
D-2017;P4-50;D0;5,526;b
D-2017;P4-50;D0;4,836;c
D-2017;P4-50;D1-0.5;6,625;a
D-2017;P4-50;D1-0.5;4,806;b
D-2017;P4-50;D1-0.5;4,591;c
D-2017;P4-50;D2-1.5;6,458;a
D-2017;P4-50;D2-1.5;6,452;b
D-2017;P4-50;D2-1.5;3,063;c
D-2017;P4-50;ctrl-S/B;5,02;a
D-2017;P4-50;ctrl-S/B;4,89;b
D-2017;P4-50;ctrl-S/B;4,33;c
E-2018;P1-20;D0;4,518;a
E-2018;P1-20;D0;3,403;b
E-2018;P1-20;D0;3,125;c
E-2018;P1-20;D1-0.5;3,336;a
E-2018;P1-20;D1-0.5;3,962;b
E-2018;P1-20;D1-0.5;2,503;c
E-2018;P1-20;D2-1.5;4,885;a
E-2018;P1-20;D2-1.5;3,096;b
E-2018;P1-20;D2-1.5;3,424;c
E-2018;P1-20;ctrl-S/B;2,91;a
E-2018;P1-20;ctrl-S/B;3,45;b
E-2018;P1-20;ctrl-S/B;3,91;c
E-2018;P2-30;D0;3,05;a
E-2018;P2-30;D0;3,645;b
E-2018;P2-30;D0;3,188;c
E-2018;P2-30;D1-0.5;4,887;a
E-2018;P2-30;D1-0.5;4,39;b
E-2018;P2-30;D1-0.5;4,18;c
E-2018;P2-30;D2-1.5;3,7;a
E-2018;P2-30;D2-1.5;3,705;b
E-2018;P2-30;D2-1.5;2,792;c
E-2018;P2-30;ctrl-S/B;3;a
E-2018;P2-30;ctrl-S/B;3,33;b
E-2018;P2-30;ctrl-S/B;2,83;c
E-2018;P3-40;D0;4,163;a
E-2018;P3-40;D0;4,419;b
E-2018;P3-40;D0;3,199;c
E-2018;P3-40;D1-0.5;6,89;a
E-2018;P3-40;D1-0.5;3,331;b
E-2018;P3-40;D1-0.5;4,472;c
E-2018;P3-40;D2-1.5;5,488;a
E-2018;P3-40;D2-1.5;4,111;b
E-2018;P3-40;D2-1.5;3,872;c
E-2018;P3-40;ctrl-S/B;4,79;a
E-2018;P3-40;ctrl-S/B;3,37;b
E-2018;P3-40;ctrl-S/B;3,579;c
E-2018;P4-50;D0;4,315;a
E-2018;P4-50;D0;3,587;b
E-2018;P4-50;D0;3,545;c
